date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:44:37	6328/6328	---M--	200	added ('OK')	application/xml	date:Mon,%2017%20Dec%202018%2003:07:53%20GMT	https://www.mischunches.com/sitemap.xml	C:/Users/JoeAlv/Desktop/Nueva%20carpeta/sitiocr/www.mischunches.com/sitemap.xml	(from https://www.mischunches.com/)
11:44:38	1833/1833	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Dec%202018%2023:07:06%20GMT	https://www.share.sitiosweb-costarica.com/img/brand/mischunches-tagline.png	C:/Users/JoeAlv/Desktop/Nueva%20carpeta/sitiocr/www.share.sitiosweb-costarica.com/img/brand/mischunches-tagline.png	(from https://www.mischunches.com/)
11:44:38	42003/42003	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Jan%202019%2017:44:37%20GMT	https://www.mischunches.com/en/	C:/Users/JoeAlv/Desktop/Nueva%20carpeta/sitiocr/www.mischunches.com/en/index.html	(from https://www.mischunches.com/)
11:44:39	138628/138628	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Jan%202019%2017:44:38%20GMT	https://www.mischunches.com/es/clientes/	C:/Users/JoeAlv/Desktop/Nueva%20carpeta/sitiocr/www.mischunches.com/es/clientes/index.html	(from https://www.mischunches.com/)
11:44:39	239/239	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20Jan%202019%2017:44:38%20GMT	https://www.mischunches.com/en	C:/Users/JoeAlv/Desktop/Nueva%20carpeta/sitiocr/www.mischunches.com/en.12.delayed	(from https://www.mischunches.com/)
11:44:40	26469/26469	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Jan%202019%2017:44:38%20GMT	https://www.mischunches.com/es/diseno-sitios-web/	C:/Users/JoeAlv/Desktop/Nueva%20carpeta/sitiocr/www.mischunches.com/es/diseno-sitios-web/index.html	(from https://www.mischunches.com/)
11:44:40	16658/16658	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Dec%202018%2023:11:09%20GMT	https://www.share.sitiosweb-costarica.com/img/content/sitiosweb-moderno-mischunches.jpg	C:/Users/JoeAlv/Desktop/Nueva%20carpeta/sitiocr/www.share.sitiosweb-costarica.com/img/content/sitiosweb-moderno-mischunches.jpg	(from https://www.mischunches.com/)
11:44:41	28835/28835	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Jan%202019%2017:44:39%20GMT	https://www.mischunches.com/es/empresa-diseno-web/	C:/Users/JoeAlv/Desktop/Nueva%20carpeta/sitiocr/www.mischunches.com/es/empresa-diseno-web/index.html	(from https://www.mischunches.com/)
11:44:41	20763/20763	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Dec%202018%2023:11:09%20GMT	https://www.share.sitiosweb-costarica.com/img/content/sitiosweb-eficientes-mischunches.jpg	C:/Users/JoeAlv/Desktop/Nueva%20carpeta/sitiocr/www.share.sitiosweb-costarica.com/img/content/sitiosweb-eficientes-mischunches.jpg	(from https://www.mischunches.com/)
11:44:41	25796/25796	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Jan%202019%2017:44:40%20GMT	https://www.mischunches.com/es/blog/	C:/Users/JoeAlv/Desktop/Nueva%20carpeta/sitiocr/www.mischunches.com/es/blog/index.html	(from https://www.mischunches.com/)
